Release 14.7 - par P.20131013 (nt)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Sun Apr 12 14:40:11 2020


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       spi_top_map.ncd
OUTPUT FILE:      spi_top_pad.txt
PART TYPE:        xc3s50a
SPEED GRADE:      -4
PACKAGE:          vq100

Pinout by Pin Number:

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage |Pin Name              |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|P1        |           |          |TMS                   |         |           |              |          |         |           |         |         |          |           |                |
|P2        |           |          |TDI                   |         |           |              |          |         |           |         |         |          |           |                |
|P3        |XLXN_12<24>|IBUF      |IO_L01P_3             |INPUT    |LVCMOS25*  |3             |          |         |           |IBUF     |         |UNLOCATED |NO         |NONE            |
|P4        |XLXN_9<0>  |IBUF      |IO_L01N_3             |INPUT    |LVCMOS25*  |3             |          |         |           |IBUF     |         |UNLOCATED |NO         |NONE            |
|P5        |XLXN_9<1>  |IBUF      |IO_L02P_3             |INPUT    |LVCMOS25*  |3             |          |         |           |IBUF     |         |UNLOCATED |NO         |NONE            |
|P6        |XLXN_9<2>  |IBUF      |IO_L02N_3             |INPUT    |LVCMOS25*  |3             |          |         |           |IBUF     |         |UNLOCATED |NO         |NONE            |
|P7        |XLXN_9<3>  |IBUF      |IP_3/VREF_3           |INPUT    |LVCMOS25*  |3             |          |         |           |IBUF     |         |UNLOCATED |NO         |NONE            |
|P8        |           |          |GND                   |         |           |              |          |         |           |         |         |          |           |                |
|P9        |XLXN_9<4>  |IBUF      |IO_L03P_3/LHCLK0      |INPUT    |LVCMOS25*  |3             |          |         |           |IBUF     |         |UNLOCATED |NO         |NONE            |
