Sample in Buffer,Sample in Window,TRIGGER,input_x0[31:0],output_x0[31:0]
0,0,0,6167,0
1,1,0,8214,0
2,2,0,10252,0
3,3,0,12280,0
4,4,0,14296,0
5,5,0,16298,0
6,6,0,18284,0
7,7,0,20252,0
8,8,0,22200,0
9,9,0,24125,0
10,10,0,26027,0
11,11,0,27904,0
12,12,0,29753,0
13,13,0,31572,0
14,14,0,33361,0
15,15,0,35116,0
16,16,0,36837,0
17,17,0,38521,0
18,18,0,40167,0
19,19,0,41774,0
20,20,0,43340,0
21,21,0,0,-89724
22,22,0,2059,-88564
23,23,0,4115,-87318
24,24,0,6167,-85984
25,25,0,8214,-84564
26,26,0,10252,-83064
27,27,0,12280,-81480
28,28,0,14296,-79816
29,29,0,16298,-78072
30,30,0,18284,-76252
31,31,0,20252,-74356
32,32,0,22200,-72386
33,33,0,24125,-70348
34,34,0,26027,-68238
35,35,0,27904,-66060
36,36,0,29753,-63818
37,37,0,31572,-61512
38,38,0,33361,-59146
39,39,0,35116,-56722
40,40,0,36837,-54242
41,41,0,38521,-51708
42,42,0,40167,-49124
43,43,0,41774,-46490
44,44,0,43340,-43810
45,45,0,44862,-41090
46,46,0,46341,-38326
47,47,0,47774,-35524
48,48,0,49159,-32690
49,49,0,50496,-29822
50,50,0,51784,-26922
51,51,0,53020,-23998
52,52,0,54204,-21050
53,53,0,55334,-18082
54,54,0,56410,-15096
55,55,0,57430,-12094
56,56,0,58393,-9082
57,57,0,59299,-6058
58,58,0,60146,-3032
59,59,0,60934,0
60,60,0,61662,3032
61,61,0,62328,6058
62,62,0,62934,9082
63,63,0,63477,12094
64,64,0,63958,15096
65,65,0,64375,18082
66,66,0,64729,21050
67,67,0,65019,23998
68,68,0,65245,26922
69,69,0,65407,29822
70,70,0,65504,32690
71,71,0,65536,35524
72,72,0,65504,38326
73,73,0,65407,41090
74,74,0,65245,43810
75,75,0,65019,46490
76,76,0,64729,49124
77,77,0,64375,51708
78,78,0,63958,54242
79,79,0,63477,56722
80,80,0,62934,59146
81,81,0,62328,61512
82,82,0,61662,63818
83,83,0,60934,66060
84,84,0,60146,68238
85,85,0,59299,70348
86,86,0,58393,72386
87,87,0,57430,74356
88,88,0,56410,76252
89,89,0,55334,78072
90,90,0,54204,79816
91,91,0,53020,81480
92,92,0,51784,83064
93,93,0,50496,84564
94,94,0,49159,85984
95,95,0,47774,87318
96,96,0,46341,88564
97,97,0,44862,89724
98,98,0,43340,90798
99,99,0,41774,91778
100,100,0,40167,92668
101,101,0,38521,93470
102,102,0,36837,94178
103,103,0,35116,94792
104,104,0,33361,95314
105,105,0,31572,95740
106,106,0,29753,96074
107,107,0,27904,96312
108,108,0,26027,96454
109,109,0,24125,96500
